Key,Value_Length,Read_Duration
lorem_0,0,0.00017118453979492188
lorem_5,47,4.076957702636719e-05
lorem_10,63,3.0994415283203125e-05
lorem_15,109,2.7894973754882812e-05
lorem_20,138,2.7894973754882812e-05
lorem_25,187,2.9325485229492188e-05
lorem_30,215,2.6941299438476562e-05
lorem_35,283,2.7894973754882812e-05
lorem_40,310,0.00014710426330566406
lorem_45,341,4.00543212890625e-05
lorem_50,351,3.695487976074219e-05
lorem_55,379,3.600120544433594e-05
lorem_60,453,3.361701965332031e-05
lorem_65,470,3.409385681152344e-05
lorem_70,542,3.361701965332031e-05
lorem_75,543,3.62396240234375e-05
lorem_80,602,3.409385681152344e-05
lorem_85,651,3.314018249511719e-05
lorem_90,639,2.7179718017578125e-05
lorem_95,677,2.6941299438476562e-05
lorem_100,758,2.7179718017578125e-05
lorem_105,796,2.7894973754882812e-05
lorem_110,803,2.8848648071289062e-05
lorem_115,849,2.8848648071289062e-05
lorem_120,906,2.8848648071289062e-05
lorem_125,937,2.7894973754882812e-05
lorem_130,948,2.8371810913085938e-05
lorem_135,1000,2.9087066650390625e-05
lorem_140,1019,2.7894973754882812e-05
lorem_145,1068,2.8848648071289062e-05
lorem_150,1119,3.314018249511719e-05
lorem_155,1136,2.7894973754882812e-05
lorem_160,1177,2.6941299438476562e-05
lorem_165,1214,6.413459777832031e-05
lorem_170,1269,3.314018249511719e-05
lorem_175,1299,2.7179718017578125e-05
lorem_180,1339,2.7179718017578125e-05
lorem_185,1373,2.4080276489257812e-05
lorem_190,1402,2.4080276489257812e-05
lorem_195,1461,2.5272369384765625e-05
lorem_200,1479,2.3126602172851562e-05
lorem_205,1512,2.4080276489257812e-05
lorem_210,1560,2.4080276489257812e-05
lorem_215,1588,2.288818359375e-05
lorem_220,1649,6.508827209472656e-05
lorem_225,1660,3.886222839355469e-05
lorem_230,1723,2.7894973754882812e-05
lorem_235,1730,2.574920654296875e-05
lorem_240,1752,2.6226043701171875e-05
lorem_245,1851,2.5033950805664062e-05
lorem_250,1840,2.4080276489257812e-05
lorem_255,1889,2.2649765014648438e-05
lorem_260,1940,2.4080276489257812e-05
lorem_265,1946,2.384185791015625e-05
lorem_270,2014,2.4080276489257812e-05
lorem_275,2043,2.3126602172851562e-05
lorem_280,2074,2.4080276489257812e-05
lorem_285,2102,2.3126602172851562e-05
lorem_290,2152,2.3126602172851562e-05
lorem_295,2169,2.4080276489257812e-05
lorem_300,2231,2.384185791015625e-05
lorem_305,2275,2.3603439331054688e-05
lorem_310,2328,2.3126602172851562e-05
lorem_315,2334,2.4080276489257812e-05
lorem_320,2399,2.4080276489257812e-05
lorem_325,2401,2.5272369384765625e-05
lorem_330,2460,2.288818359375e-05
lorem_335,2471,2.3126602172851562e-05
lorem_340,2523,2.384185791015625e-05
lorem_345,2549,2.47955322265625e-05
lorem_350,2590,2.4080276489257812e-05
lorem_355,2637,2.3126602172851562e-05
lorem_360,2671,2.288818359375e-05
lorem_365,2712,2.4080276489257812e-05
lorem_370,2735,2.8133392333984375e-05
lorem_375,2780,2.3126602172851562e-05
lorem_380,2826,2.288818359375e-05
lorem_385,2863,2.3126602172851562e-05
lorem_390,2917,2.3126602172851562e-05
lorem_395,2914,2.4080276489257812e-05
lorem_400,2999,2.3126602172851562e-05
lorem_405,3022,2.3126602172851562e-05
lorem_410,3012,2.3126602172851562e-05
lorem_415,3078,2.288818359375e-05
lorem_420,3122,2.288818359375e-05
lorem_425,3161,2.288818359375e-05
lorem_430,3166,2.2649765014648438e-05
lorem_435,3248,2.288818359375e-05
lorem_440,3271,2.288818359375e-05
lorem_445,3333,2.288818359375e-05
lorem_450,3323,2.3126602172851562e-05
lorem_455,3370,2.3126602172851562e-05
lorem_460,3407,2.3126602172851562e-05
lorem_465,3444,2.288818359375e-05
lorem_470,3483,2.288818359375e-05
lorem_475,3525,2.2649765014648438e-05
lorem_480,3556,2.3126602172851562e-05
lorem_485,3615,2.288818359375e-05
lorem_490,3616,2.288818359375e-05
lorem_495,3638,2.193450927734375e-05
lorem_500,3729,2.4080276489257812e-05
lorem_505,3754,2.4080276489257812e-05
lorem_510,3775,2.2172927856445312e-05
lorem_515,3824,2.288818359375e-05
lorem_520,3857,2.3126602172851562e-05
lorem_525,3879,2.4080276489257812e-05
lorem_530,3934,2.4080276489257812e-05
lorem_535,3967,2.3126602172851562e-05
lorem_540,4001,2.288818359375e-05
lorem_545,4041,2.3603439331054688e-05
lorem_550,4081,2.4080276489257812e-05
lorem_555,4121,2.3126602172851562e-05
lorem_560,4144,2.288818359375e-05
lorem_565,4205,2.4080276489257812e-05
lorem_570,4221,2.4080276489257812e-05
lorem_575,4271,2.4080276489257812e-05
lorem_580,4286,2.384185791015625e-05
lorem_585,4341,2.3126602172851562e-05
lorem_590,4368,2.384185791015625e-05
lorem_595,4418,2.3126602172851562e-05
lorem_600,4446,2.002716064453125e-05
lorem_605,4513,1.9788742065429688e-05
lorem_610,4523,1.8835067749023438e-05
lorem_615,4565,2.002716064453125e-05
lorem_620,4618,1.9311904907226562e-05
lorem_625,4644,2.002716064453125e-05
lorem_630,4675,2.0265579223632812e-05
lorem_635,4712,2.002716064453125e-05
lorem_640,4736,1.9788742065429688e-05
lorem_645,4797,1.8835067749023438e-05
lorem_650,4816,1.9788742065429688e-05
lorem_655,4845,1.8835067749023438e-05
lorem_660,4894,1.9788742065429688e-05
lorem_665,4952,1.8835067749023438e-05
lorem_670,4974,1.8835067749023438e-05
lorem_675,4978,1.8835067749023438e-05
lorem_680,5061,1.8835067749023438e-05
lorem_685,5081,1.8835067749023438e-05
lorem_690,5122,1.9073486328125e-05
lorem_695,5159,1.8835067749023438e-05
lorem_700,5219,2.002716064453125e-05
lorem_705,5251,1.9073486328125e-05
lorem_710,5252,1.8835067749023438e-05
lorem_715,5304,1.9788742065429688e-05
lorem_720,5328,2.002716064453125e-05
lorem_725,5380,2.193450927734375e-05
lorem_730,5416,2.002716064453125e-05
lorem_735,5464,2.002716064453125e-05
lorem_740,5482,2.002716064453125e-05
lorem_745,5527,1.9311904907226562e-05
lorem_750,5560,2.5033950805664062e-05
lorem_755,5590,2.002716064453125e-05
lorem_760,5643,2.4080276489257812e-05
lorem_765,5669,1.8835067749023438e-05
lorem_770,5716,1.8835067749023438e-05
lorem_775,5768,2.002716064453125e-05
lorem_780,5783,2.002716064453125e-05
lorem_785,5812,1.8835067749023438e-05
lorem_790,5873,2.002716064453125e-05
lorem_795,5901,1.9073486328125e-05
lorem_800,5921,2.002716064453125e-05
lorem_805,5990,2.002716064453125e-05
lorem_810,5996,2.002716064453125e-05
lorem_815,6045,2.002716064453125e-05
lorem_820,6081,2.002716064453125e-05
lorem_825,6084,1.8835067749023438e-05
lorem_830,6152,2.193450927734375e-05
lorem_835,6214,1.9073486328125e-05
lorem_840,6284,1.8835067749023438e-05
lorem_845,6260,1.8835067749023438e-05
lorem_850,6288,2.002716064453125e-05
lorem_855,6351,1.9073486328125e-05
lorem_860,6384,1.8835067749023438e-05
lorem_865,6425,2.002716064453125e-05
lorem_870,6451,1.9788742065429688e-05
lorem_875,6501,2.002716064453125e-05
lorem_880,6497,1.8835067749023438e-05
lorem_885,6558,1.9073486328125e-05
lorem_890,6614,1.9311904907226562e-05
lorem_895,6643,1.8835067749023438e-05
lorem_900,6675,2.193450927734375e-05
lorem_905,6717,2.002716064453125e-05
lorem_910,6754,1.9788742065429688e-05
lorem_915,6795,2.002716064453125e-05
lorem_920,6827,2.09808349609375e-05
lorem_925,6873,1.9073486328125e-05
lorem_930,6909,2.193450927734375e-05
lorem_935,6959,1.8835067749023438e-05
lorem_940,6989,2.002716064453125e-05
lorem_945,6976,1.9073486328125e-05
lorem_950,7014,1.9073486328125e-05
lorem_955,7090,2.002716064453125e-05
lorem_960,7172,2.002716064453125e-05
lorem_965,7162,1.9788742065429688e-05
lorem_970,7212,1.8835067749023438e-05
lorem_975,7206,2.002716064453125e-05
lorem_980,7266,1.8835067749023438e-05
lorem_985,7326,2.002716064453125e-05
lorem_990,7346,2.0265579223632812e-05
lorem_995,7381,1.8835067749023438e-05
lorem_1000,7423,1.9788742065429688e-05
